name,p_nom,carrier,marginal_cost,max_hours,efficiency_store,efficiency_dispatch,state_of_charge_initial,bus,standing_loss,capital_cost,p_nom_extendable,,
Beauly Compressed Air,207.0103448,Compressed Air,0,4.999450302,0.69,0.69,1034.937931,Beauly,0,0,FALSE,,
Peterhead Compressed Air,207.0103448,Compressed Air,0,4.999450302,0.69,0.69,1034.937931,Peterhead,0,0,FALSE,,
Errochty Compressed Air,207.0103448,Compressed Air,0,4.999450302,0.69,0.69,1034.937931,Errochty,0,0,FALSE,,
Denny/Bonnybridge Compressed Air,207.0103448,Compressed Air,0,4.999450302,0.69,0.69,1034.937931,Denny/Bonnybridge,0,0,FALSE,,
Neilston Compressed Air,207.0103448,Compressed Air,0,4.999450302,0.69,0.69,1034.937931,Neilston,0,0,FALSE,,
Strathaven Compressed Air,207.0103448,Compressed Air,0,4.999450302,0.69,0.69,1034.937931,Strathaven,0,0,FALSE,,
Torness Compressed Air,207.0103448,Compressed Air,0,4.999450302,0.69,0.69,1034.937931,Torness,0,0,FALSE,,
Eccles Compressed Air,207.0103448,Compressed Air,0,4.999450302,0.69,0.69,1034.937931,Eccles,0,0,FALSE,,
Harker Compressed Air,207.0103448,Compressed Air,0,4.999450302,0.69,0.69,1034.937931,Harker,0,0,FALSE,,
Stella West Compressed Air,207.0103448,Compressed Air,0,4.999450302,0.69,0.69,1034.937931,Stella West,0,0,FALSE,,
Penwortham Compressed Air,207.0103448,Compressed Air,0,4.999450302,0.69,0.69,1034.937931,Penwortham,0,0,FALSE,,
Deeside Compressed Air,207.0103448,Compressed Air,0,4.999450302,0.69,0.69,1034.937931,Deeside,0,0,FALSE,,
Daines Compressed Air,207.0103448,Compressed Air,0,4.999450302,0.69,0.69,1034.937931,Daines,0,0,FALSE,,
Th. Marsh/Stocksbridge Compressed Air,207.0103448,Compressed Air,0,4.999450302,0.69,0.69,1034.937931,Th. Marsh/Stocksbridge,0,0,FALSE,,
Thornton/Drax/Eggborough Compressed Air,207.0103448,Compressed Air,0,4.999450302,0.69,0.69,1034.937931,Thornton/Drax/Eggborough,0,0,FALSE,,
Keadby Compressed Air,207.0103448,Compressed Air,0,4.999450302,0.69,0.69,1034.937931,Keadby,0,0,FALSE,,
Ratcliffe Compressed Air,207.0103448,Compressed Air,0,4.999450302,0.69,0.69,1034.937931,Ratcliffe,0,0,FALSE,,
Feckenham Compressed Air,207.0103448,Compressed Air,0,4.999450302,0.69,0.69,1034.937931,Feckenham,0,0,FALSE,,
Walpole Compressed Air,207.0103448,Compressed Air,0,4.999450302,0.69,0.69,1034.937931,Walpole,0,0,FALSE,,
Bramford Compressed Air,207.0103448,Compressed Air,0,4.999450302,0.69,0.69,1034.937931,Bramford,0,0,FALSE,,
Pelham Compressed Air,207.0103448,Compressed Air,0,4.999450302,0.69,0.69,1034.937931,Pelham,0,0,FALSE,,
Sundon/East Claydon Compressed Air,207.0103448,Compressed Air,0,4.999450302,0.69,0.69,1034.937931,Sundon/East Claydon,0,0,FALSE,,
Melksham Compressed Air,207.0103448,Compressed Air,0,4.999450302,0.69,0.69,1034.937931,Melksham,0,0,FALSE,,
Bramley Compressed Air,207.0103448,Compressed Air,0,4.999450302,0.69,0.69,1034.937931,Bramley,0,0,FALSE,,
London Compressed Air,207.0103448,Compressed Air,0,4.999450302,0.69,0.69,1034.937931,London,0,0,FALSE,,
Kemsley Compressed Air,207.0103448,Compressed Air,0,4.999450302,0.69,0.69,1034.937931,Kemsley,0,0,FALSE,,
Sellindge Compressed Air,207.0103448,Compressed Air,0,4.999450302,0.69,0.69,1034.937931,Sellindge,0,0,FALSE,,
Lovedean Compressed Air,207.0103448,Compressed Air,0,4.999450302,0.69,0.69,1034.937931,Lovedean,0,0,FALSE,,
S.W.Penisula Compressed Air,207.0103448,Compressed Air,0,4.999450302,0.69,0.69,1034.937931,S.W.Penisula,0,0,FALSE,,
Beauly Liquid Air,151.8827586,Liquid Air,0,4.089497344,0.69,0.69,621.1241379,Beauly,0,0,FALSE,,
Peterhead Liquid Air,151.8827586,Liquid Air,0,4.089497344,0.69,0.69,621.1241379,Peterhead,0,0,FALSE,,
Errochty Liquid Air,151.8827586,Liquid Air,0,4.089497344,0.69,0.69,621.1241379,Errochty,0,0,FALSE,,
Denny/Bonnybridge Liquid Air,151.8827586,Liquid Air,0,4.089497344,0.69,0.69,621.1241379,Denny/Bonnybridge,0,0,FALSE,,
Neilston Liquid Air,151.8827586,Liquid Air,0,4.089497344,0.69,0.69,621.1241379,Neilston,0,0,FALSE,,
Strathaven Liquid Air,151.8827586,Liquid Air,0,4.089497344,0.69,0.69,621.1241379,Strathaven,0,0,FALSE,,
Torness Liquid Air,151.8827586,Liquid Air,0,4.089497344,0.69,0.69,621.1241379,Torness,0,0,FALSE,,
Eccles Liquid Air,151.8827586,Liquid Air,0,4.089497344,0.69,0.69,621.1241379,Eccles,0,0,FALSE,,
Harker Liquid Air,151.8827586,Liquid Air,0,4.089497344,0.69,0.69,621.1241379,Harker,0,0,FALSE,,
Stella West Liquid Air,151.8827586,Liquid Air,0,4.089497344,0.69,0.69,621.1241379,Stella West,0,0,FALSE,,
Penwortham Liquid Air,151.8827586,Liquid Air,0,4.089497344,0.69,0.69,621.1241379,Penwortham,0,0,FALSE,,
Deeside Liquid Air,151.8827586,Liquid Air,0,4.089497344,0.69,0.69,621.1241379,Deeside,0,0,FALSE,,
Daines Liquid Air,151.8827586,Liquid Air,0,4.089497344,0.69,0.69,621.1241379,Daines,0,0,FALSE,,
Th. Marsh/Stocksbridge Liquid Air,151.8827586,Liquid Air,0,4.089497344,0.69,0.69,621.1241379,Th. Marsh/Stocksbridge,0,0,FALSE,,
Thornton/Drax/Eggborough Liquid Air,151.8827586,Liquid Air,0,4.089497344,0.69,0.69,621.1241379,Thornton/Drax/Eggborough,0,0,FALSE,,
Keadby Liquid Air,151.8827586,Liquid Air,0,4.089497344,0.69,0.69,621.1241379,Keadby,0,0,FALSE,,
Ratcliffe Liquid Air,151.8827586,Liquid Air,0,4.089497344,0.69,0.69,621.1241379,Ratcliffe,0,0,FALSE,,
Feckenham Liquid Air,151.8827586,Liquid Air,0,4.089497344,0.69,0.69,621.1241379,Feckenham,0,0,FALSE,,
Walpole Liquid Air,151.8827586,Liquid Air,0,4.089497344,0.69,0.69,621.1241379,Walpole,0,0,FALSE,,
Bramford Liquid Air,151.8827586,Liquid Air,0,4.089497344,0.69,0.69,621.1241379,Bramford,0,0,FALSE,,
Pelham Liquid Air,151.8827586,Liquid Air,0,4.089497344,0.69,0.69,621.1241379,Pelham,0,0,FALSE,,
Sundon/East Claydon Liquid Air,151.8827586,Liquid Air,0,4.089497344,0.69,0.69,621.1241379,Sundon/East Claydon,0,0,FALSE,,
Melksham Liquid Air,151.8827586,Liquid Air,0,4.089497344,0.69,0.69,621.1241379,Melksham,0,0,FALSE,,
Bramley Liquid Air,151.8827586,Liquid Air,0,4.089497344,0.69,0.69,621.1241379,Bramley,0,0,FALSE,,
London Liquid Air,151.8827586,Liquid Air,0,4.089497344,0.69,0.69,621.1241379,London,0,0,FALSE,,
Kemsley Liquid Air,151.8827586,Liquid Air,0,4.089497344,0.69,0.69,621.1241379,Kemsley,0,0,FALSE,,
Sellindge Liquid Air,151.8827586,Liquid Air,0,4.089497344,0.69,0.69,621.1241379,Sellindge,0,0,FALSE,,
Lovedean Liquid Air,151.8827586,Liquid Air,0,4.089497344,0.69,0.69,621.1241379,Lovedean,0,0,FALSE,,
S.W.Penisula Liquid Air,151.8827586,Liquid Air,0,4.089497344,0.69,0.69,621.1241379,S.W.Penisula,0,0,FALSE,,
Beauly P2G,4073.729966,P2G,500,999999999,0.95,0.95,0,Beauly,0,0,FALSE,,
Denny/Bonnybridge P2G,378.5273849,P2G,500,999999999,0.95,0.95,0,Denny/Bonnybridge,0,0,FALSE,,
Eccles P2G,75.69386838,P2G,500,999999999,0.95,0.95,0,Eccles,0,0,FALSE,,
Errochty P2G,170.2914357,P2G,500,999999999,0.95,0.95,0,Errochty,0,0,FALSE,,
Neilston P2G,2071.330125,P2G,500,999999999,0.95,0.95,0,Neilston,0,0,FALSE,,
Peterhead P2G,7491.144833,P2G,500,999999999,0.95,0.95,0,Peterhead,0,0,FALSE,,
Strathaven P2G,959.7172365,P2G,500,999999999,0.95,0.95,0,Strathaven,0,0,FALSE,,
Torness P2G,1381.134454,P2G,500,999999999,0.95,0.95,0,Torness,0,0,FALSE,,
Bramford P2G,5153.28192,P2G,500,999999999,0.95,0.95,0,Bramford,0,0,FALSE,,
Bramley P2G,305.0119287,P2G,500,999999999,0.95,0.95,0,Bramley,0,0,FALSE,,
Daines P2G,101.1744819,P2G,500,999999999,0.95,0.95,0,Daines,0,0,FALSE,,
Deeside P2G,1245.734518,P2G,500,999999999,0.95,0.95,0,Deeside,0,0,FALSE,,
Feckenham P2G,318.9349636,P2G,500,999999999,0.95,0.95,0,Feckenham,0,0,FALSE,,
Harker P2G,422.1362893,P2G,500,999999999,0.95,0.95,0,Harker,0,0,FALSE,,
Keadby P2G,1527.366016,P2G,500,999999999,0.95,0.95,0,Keadby,0,0,FALSE,,
Kemsley P2G,411.7118742,P2G,500,999999999,0.95,0.95,0,Kemsley,0,0,FALSE,,
London P2G,53.0422279,P2G,500,999999999,0.95,0.95,0,London,0,0,FALSE,,
Lovedean P2G,637.4210712,P2G,500,999999999,0.95,0.95,0,Lovedean,0,0,FALSE,,
Melksham P2G,1877.308427,P2G,500,999999999,0.95,0.95,0,Melksham,0,0,FALSE,,
Pelham P2G,466.3468232,P2G,500,999999999,0.95,0.95,0,Pelham,0,0,FALSE,,
Penwortham P2G,1466.600371,P2G,500,999999999,0.95,0.95,0,Penwortham,0,0,FALSE,,
Ratcliffe P2G,539.026603,P2G,500,999999999,0.95,0.95,0,Ratcliffe,0,0,FALSE,,
S.W.Penisula P2G,1669.133005,P2G,500,999999999,0.95,0.95,0,S.W.Penisula,0,0,FALSE,,
Sellindge P2G,458.9123689,P2G,500,999999999,0.95,0.95,0,Sellindge,0,0,FALSE,,
Stella West P2G,4148.918629,P2G,500,999999999,0.95,0.95,0,Stella West,0,0,FALSE,,
Sundon/East Claydon P2G,568.1202675,P2G,500,999999999,0.95,0.95,0,Sundon/East Claydon,0,0,FALSE,,
Th. Marsh/Stocksbridge P2G,183.3837463,P2G,500,999999999,0.95,0.95,0,Th. Marsh/Stocksbridge,0,0,FALSE,,
Thornton/Drax/Eggborough P2G,322.373378,P2G,500,999999999,0.95,0.95,0,Thornton/Drax/Eggborough,0,0,FALSE,,
Walpole P2G,5371.75253,P2G,500,999999999,0.95,0.95,0,Walpole,0,0,FALSE,,
STES_Beauly,500,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 1,0.1,1000,TRUE,,
STES_Peterhead,500,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 2,0.1,1000,TRUE,,
STES_Errochty,500,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 3,0.1,1000,TRUE,,
STES_Denny/BonnyBdige,501,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 4,0.1,1000,TRUE,,
STES_Neilston,502,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 5,0.1,1000,TRUE,,
STES_Strathaven,503,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 6,0.1,1000,TRUE,,
STES_Torness,504,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 7,0.1,1000,TRUE,,
STES_Eccles,505,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 8,0.1,1000,TRUE,,
STES_Harker,506,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 9,0.1,1000,TRUE,,
STES_Stella West,507,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 10,0.1,1000,TRUE,,
STES_Penwortham,508,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 11,0.1,1000,TRUE,,
STES_Deeside,508,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 12,0.1,1000,TRUE,,
STES_Daines,509,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 13,0.1,1000,TRUE,,
STES_Marsh_Stocksbridge,510,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 14,0.1,1000,TRUE,,
STES_Thornton_Drax_Eggborough,511,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 15,0.1,1000,TRUE,,
STES_Keadby,512,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 16,0.1,1000,TRUE,,
STES_Ratcliffe,513,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 17,0.1,1000,TRUE,,
STES_Feckenham,514,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 18,0.1,1000,TRUE,,
STES_Walpole,515,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 19,0.1,1000,TRUE,,
STES_Bramford,516,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 20,0.1,1000,TRUE,,
STES_Pelham,500,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 21,0.1,1000,TRUE,,
STES_Sundon_East_Claydon,501,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 22,0.1,1000,TRUE,,
STES_Melksham,502,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 23,0.1,1000,TRUE,,
STES_Bramley,503,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 24,0.1,1000,TRUE,,
STES_London,504,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 25,0.1,1000,TRUE,,
STES_Kemsley,505,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 26,0.1,1000,TRUE,,
STES_Sellindge,506,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 27,0.1,1000,TRUE,,
STES_Lovedean,507,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 28,0.1,1000,TRUE,,
STES_S_W_Penisula,508,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 29,0.1,1000,TRUE,,
